num_ue,distance,interval,throughput,latency,pdr
10,100,100,0.008304,9.26e-05,100.0
10,100,200,0.008304,9.26e-05,100.0
10,100,500,0.008304,9.26e-05,100.0
10,500,100,0.007048,7.65745e-05,100.0
10,500,200,0.007048,7.65745e-05,100.0
10,500,500,0.007048,7.65745e-05,100.0
10,1000,100,0.007048,7.65745e-05,100.0
10,1000,200,0.007048,7.65745e-05,100.0
10,1000,500,0.007048,7.65745e-05,100.0
20,100,100,0.014856,8.21e-05,100.0
20,100,200,0.014856,8.21e-05,100.0
20,100,500,0.014856,8.21e-05,100.0
20,500,100,0.014328,7.54536e-05,100.0
20,500,200,0.014328,7.54536e-05,100.0
20,500,500,0.014328,7.54536e-05,100.0
20,1000,100,0.014328,7.54536e-05,100.0
20,1000,200,0.014328,7.54536e-05,100.0
20,1000,500,0.014328,7.54536e-05,100.0
50,100,100,0.036696,7.91714e-05,100.0
50,100,200,0.036696,7.91714e-05,100.0
50,100,500,0.036696,7.91714e-05,100.0
50,500,100,0.036168,7.58219e-05,100.0
50,500,200,0.036168,7.58219e-05,100.0
50,500,500,0.036168,7.58219e-05,100.0
50,1000,100,0.036168,7.58219e-05,100.0
50,1000,200,0.036168,7.58219e-05,100.0
50,1000,500,0.036168,7.58219e-05,100.0
100,100,100,0.074552,7.75416e-05,100.0
100,100,200,0.074552,7.75416e-05,100.0
100,100,500,0.074552,7.75416e-05,100.0
100,500,100,0.072568,7.66097e-05,100.0
100,500,200,0.072568,7.66097e-05,100.0
100,500,500,0.072568,7.66097e-05,100.0
100,1000,100,0.072568,7.66097e-05,100.0
100,1000,200,0.072568,7.66097e-05,100.0
100,1000,500,0.072568,7.66097e-05,100.0
